pickup_grid,trips,avg_value,lat,lon,cluster
-263_7357,240,0.05545,-1.3125,36.7875,2
-261_7367,2216,0.05528531137184115,-1.3025,36.8375,2
-254_7363,4084,0.05443180705190989,-1.2675,36.8175,2
-252_7378,701,0.05379315263908702,-1.2575,36.8925,2
-248_7381,1543,0.053072261827608554,-1.2375,36.9075,2
-262_7370,591,0.05295939086294416,-1.3075,36.8525,2
-250_7358,182,0.052813186813186815,-1.2475,36.792500000000004,2
-259_7370,3244,0.05279932182490752,-1.2925,36.8525,2
-253_7353,195,0.05267692307692308,-1.2625,36.7675,2
-253_7392,199,0.05256281407035175,-1.2625,36.9625,7
-250_7364,166,0.052487951807228914,-1.2475,36.8225,2
-249_7358,440,0.05236818181818182,-1.2425,36.792500000000004,2
-261_7372,210,0.051519047619047624,-1.3025,36.862500000000004,2
-249_7357,539,0.051226345083487945,-1.2425,36.7875,2
-249_7382,161,0.050931677018633534,-1.2425,36.9125,2
-252_7373,935,0.050332620320855614,-1.2575,36.8675,2
-254_7362,6870,0.049784170305676854,-1.2675,36.8125,2
-255_7348,338,0.049520710059171594,-1.2725,36.7425,2
-258_7360,2208,0.049401154891304346,-1.2875,36.8025,2
-266_7372,138,0.0493768115942029,-1.3275000000000001,36.862500000000004,2
-254_7387,129,0.04933333333333333,-1.2675,36.9375,7
-264_7373,583,0.048938250428816464,-1.3175000000000001,36.8675,2
-263_7377,1117,0.048611011638316916,-1.3125,36.8875,2
-262_7357,901,0.04838623751387347,-1.3075,36.7875,2
-253_7364,24801,0.04833589371396314,-1.2625,36.8225,2
-264_7357,963,0.04824792315680166,-1.3175000000000001,36.7875,2
-262_7373,483,0.04810973084886128,-1.3075,36.8675,2
-262_7368,646,0.04802476780185758,-1.3075,36.8425,2
-264_7377,470,0.04776968085106383,-1.3175000000000001,36.8875,2
-250_7385,368,0.04763315217391304,-1.2475,36.9275,7
-259_7371,1457,0.047561427590940286,-1.2925,36.8575,2
-253_7374,1425,0.04754912280701755,-1.2625,36.8725,2
-262_7374,568,0.04711355633802817,-1.3075,36.8725,2
-265_7373,505,0.04710099009900991,-1.3225,36.8675,2
-252_7365,45863,0.046987751564441925,-1.2575,36.8275,2
-256_7359,2244,0.04675924688057041,-1.2775,36.7975,2
-264_7369,7514,0.046399287995741285,-1.3175000000000001,36.847500000000004,2
-266_7360,936,0.046273237179487184,-1.3275000000000001,36.8025,2
-264_7356,223,0.045802690582959646,-1.3175000000000001,36.7825,2
-262_7363,4865,0.04555914696813977,-1.3075,36.8175,2
